Lang,Key,Value,Reference,Page
Arabana,12du_a,arimpa,"Hercus, Luise A. 1994. A Grammar of the Arabana-Wangkangurru Language, Lake Eyre Basin, South Australia. Canberra: Department of Linguistics, Research School of Pacific Studies, Australian National University.",
Arabana,12du_o,arimpanha,,
Arabana,12du_p,arimpakunha,,
Arabana,12du_s,arimpa,,
Arabana,12pl_a,arniri,,
Arabana,12pl_o,arnirinha,,
Arabana,12pl_p,arnirikunha,,
Arabana,12pl_s,arniri,,
Arabana,1du_a,ari,,
Arabana,1du_o,arimha,,
Arabana,1du_p,arikunha,,
Arabana,1du_s,ari,,
Arabana,1pl_a,ani,,
Arabana,1pl_o,anina,,
Arabana,1pl_p,arnikunha,,
Arabana,1pl_s,arni,,
Arabana,1sg_a,antha,,
Arabana,1sg_o,athu,,
Arabana,1sg_p,anthunba,,
Arabana,1sg_s,anha,,
Arabana,2du_a,urupularu,,
Arabana,2du_o,urupulanha,,
Arabana,2du_p,urupulakunha,,
Arabana,2du_s,urupularu,,
Arabana,2pl_a,urkari,,
Arabana,2pl_o,urkarinha,,
Arabana,2pl_p,urkarikunha,,
Arabana,2pl_s,urkari,,
Arabana,2sg_a,anpa,,
Arabana,2sg_o,unanha,,
Arabana,2sg_p,ankunha,,
Arabana,2sg_s,anpa,,
Arabana,3d_a,pularu,,
Arabana,3d_o,pulanha,,
Arabana,3d_p,pulakunha,,
Arabana,3d_s,pularu,,
Arabana,3p_a,kari,,
Arabana,3p_o,karinha,,
Arabana,3p_p,karikunha,,
Arabana,3p_s,kari,,
Arabana,3sg_m_a,uka,,
Arabana,3sg_m_o,ukaru,,
Arabana,3sg_m_p,ukakunha,,
Arabana,3sg_m_s,ukanha,,
Arabana,3sg_m_s,uka,,
Arabana,3sg_n_a,uka,,
Arabana,3sg_n_o,ukaru,,
Arabana,3sg_n_p,ukakunha,,
Arabana,3sg_n_s,ukanha,,
Arammba,12du_a,nineh,"Evans, Nicholas, Wayan Arka, Matthew Carroll, Christian Döhler, Eri Kashima, Emil Mittag, Volker Gast, Dineke Schokkin, Kyla Quinn, Jeff Siegel, Philip Tama and Charlotte Van Tongeren. 2017. The languages of Southern New Guinea. In Bill Palmer (ed.), The Languages and Linguistics of New Guinea: A Comprehensive Guide. Berlin: Walter de Gruyter.",
Arammba,12du_o,ni,,
Arammba,12du_p,ndani,,
Arammba,12du_s,ni,,
Arammba,12pl_a,nineh,,
Arammba,12pl_o,ni,,
Arammba,12pl_p,ndani,,
Arammba,12pl_s,ni,,
Arammba,1du_a,nineh,,
Arammba,1du_o,ni,,
Arammba,1du_p,ndani,,
Arammba,1du_s,ni,,
Arammba,1pl_a,nineh,,
Arammba,1pl_o,ni,,
Arammba,1pl_p,ndani,,
Arammba,1pl_s,ni,,
Arammba,1sg_a,gehneh,,
Arammba,1sg_o,geh,,
Arammba,1sg_p,nduni,,
Arammba,1sg_s,geh,,
Arammba,2du_a,behneh,,
Arammba,2du_o,beh,,
Arammba,2du_p,mbani,,
Arammba,2du_s,beh,,
Arammba,2pl_a,behneh,,
Arammba,2pl_o,beh,,
Arammba,2pl_p,mbani,,
Arammba,2pl_s,beh,,
Arammba,2sg_a,behneh,,
Arammba,2sg_o,beh,,
Arammba,2sg_p,mbuni,,
Arammba,2sg_s,beh,,
Arammba,3d_a,behneh,,
Arammba,3d_o,bi,,
Arammba,3d_p,nabbani,,
Arammba,3d_s,bi,,
Arammba,3p_a,behneh,,
Arammba,3p_o,bi,,
Arammba,3p_p,nabbani,,
Arammba,3p_s,bi,,
Arammba,3sg_m_a,bineh,,
Arammba,3sg_m_o,bi,,
Arammba,3sg_m_p,nabbni,,
Arammba,3sg_m_s,bi,,
Arammba,3sg_n_a,bineh,,
Arammba,3sg_n_o,bi,,
Arammba,3sg_n_p,nabbni,,
Arammba,3sg_n_s,bi,,
Assamese,12du_a,ami,"Baruah, P. N. Dutta. 1980. An Intensive Course in Assamese. (CIIL Intensive Course Series, 3.) Mysore: CIIL. 1068pp.",
Assamese,12du_o,amak,,
Assamese,12du_p,amar,,
Assamese,12du_s,ami,,
Assamese,12pl_a,ami,,
Assamese,12pl_o,amak,,
Assamese,12pl_p,amar,,
Assamese,12pl_s,ami,,
Assamese,1du_a,ami,,
Assamese,1du_o,amak,,
Assamese,1du_p,amar,,
Assamese,1du_s,ami,,
Assamese,1pl_a,ami,,
Assamese,1pl_o,amak,,
Assamese,1pl_p,amar,,
Assamese,1pl_s,ami,,
Assamese,1sg_a,moe,,
Assamese,1sg_o,mok,,
Assamese,1sg_p,mor,,
Assamese,1sg_s,moe,,
Assamese,2du_a,tomalok,,
Assamese,2du_o,tomak,,
Assamese,2du_p,tomar,,
Assamese,2du_s,tomalok,,
Assamese,2pl_a,tomalok,,
Assamese,2pl_o,tomak,,
Assamese,2pl_p,tomar,,
Assamese,2pl_s,tomalok,,
Assamese,2sg_a,tumi,,
Assamese,2sg_o,tomak,,
Assamese,2sg_p,tomar,,
Assamese,2sg_s,tumi,,
Assamese,3d_a,i?ot,,
Assamese,3d_o,i?ot,,
Assamese,3d_p,i?ot,,
Assamese,3d_s,i?ot,,
Assamese,3p_a,i?ot,,
Assamese,3p_o,i?ot,,
Assamese,3p_p,i?ot,,
Assamese,3p_s,i?ot,,
Assamese,3sg_m_a,i,,
Assamese,3sg_m_o,tak,,
Assamese,3sg_m_p,tar,,
Assamese,3sg_m_s,i,,
Assamese,3sg_n_a,ei,,
Assamese,3sg_n_o,ei,,
Assamese,3sg_n_p,ei,,
Assamese,3sg_n_s,ei,,
Atampaya,12du_a,alibba,"Crowley, Terry. 1983. Uradhi. In R.M.W. Dixon and Barry Blake (eds.), Handbook of Australian Languages, 307-430. Amsterdam: John Benjamins.",pg 354
Atampaya,12du_o,alinganha,,
Atampaya,12du_p,alingamu,,
Atampaya,12du_s,alibba,,
Atampaya,12pl_a,anabba,,
Atampaya,12pl_o,ananganha,,
Atampaya,12pl_p,anangamu,,
Atampaya,12pl_s,anabba,,
Atampaya,1du_a,ampula,,
Atampaya,1du_o,ampunganha,,
Atampaya,1du_p,ampungamu,,
Atampaya,1du_s,ampula,,
Atampaya,1pl_a,ampula,,
Atampaya,1pl_o,ampunganha,,
Atampaya,1pl_p,ampungamu,,
Atampaya,1pl_s,ampula,,
Atampaya,1sg_a,ayubba,,
Atampaya,1sg_o,anhibba,,
Atampaya,1sg_p,athumu,,
Atampaya,1sg_s,ayubba,,
Atampaya,2du_a,ipula,,
Atampaya,2du_o,ipunganha,,
Atampaya,2du_p,ipungamu,,
Atampaya,2du_s,ipula,,
Atampaya,2pl_a,ipula,,
Atampaya,2pl_o,ipunganha,,
Atampaya,2pl_p,ipungamu,,
Atampaya,2pl_s,ipula,,
Atampaya,2sg_a,antubba,,
Atampaya,2sg_o,inhabba,,
Atampaya,2sg_p,angkumu,,
Atampaya,2sg_s,antubba,,
Atampaya,3d_a,ulabba,,
Atampaya,3d_o,ulanganha,,
Atampaya,3d_p,ulangamu,,
Atampaya,3d_s,ulabba,,
Atampaya,3p_a,ulabba,,
Atampaya,3p_o,ulanganha,,
Atampaya,3p_p,ulangamu,,
Atampaya,3p_s,ulabba,,
Atampaya,3sg_m_a,ulubba,,
Atampaya,3sg_m_o,unhubba,,
Atampaya,3sg_m_p,ungumu,,
Atampaya,3sg_m_s,ulubba,,
Atampaya,3sg_n_a,ulubba,,
Atampaya,3sg_n_o,unhubba,,
Atampaya,3sg_n_p,ungumu,,
Atampaya,3sg_n_s,ulubba,,
Belarusian,12du_a,my,"Mayo, Peter. 1993. Belorussian. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 887-946. London, New York: Routledge.",
Belarusian,12du_o,nas,,
Belarusian,12du_p,nash,,
Belarusian,12du_s,my,,
Belarusian,12pl_a,my,,
Belarusian,12pl_o,nas,,
Belarusian,12pl_p,nash,,
Belarusian,12pl_s,my,,
Belarusian,1du_a,my,,
Belarusian,1du_o,nas,,
Belarusian,1du_p,nash,,
Belarusian,1du_s,my,,
Belarusian,1pl_a,my,,
Belarusian,1pl_o,nas,,
Belarusian,1pl_p,nash,,
Belarusian,1pl_s,my,,
Belarusian,1sg_a,ja,,
Belarusian,1sg_o,mjane,,
Belarusian,1sg_p,moj,,
Belarusian,1sg_s,ja,,
Belarusian,2du_a,vy,,
Belarusian,2du_o,vas,,
Belarusian,2du_p,vash,,
Belarusian,2du_s,vy,,
Belarusian,2pl_a,vy,,
Belarusian,2pl_o,vas,,
Belarusian,2pl_p,vash,,
Belarusian,2pl_s,vy,,
Belarusian,2sg_a,ty,,
Belarusian,2sg_o,cjabe,,
Belarusian,2sg_p,tvoj,,
Belarusian,2sg_s,ty,,
Belarusian,3d_a,janh,,
Belarusian,3d_o,ix,,
Belarusian,3d_p,ix,,
Belarusian,3d_s,janh,,
Belarusian,3p_a,janh,,
Belarusian,3p_o,ix,,
Belarusian,3p_p,ix,,
Belarusian,3p_s,janh,,
Belarusian,3sg_m_a,ën,,
Belarusian,3sg_m_o,jaho,,
Belarusian,3sg_m_p,jaho,,
Belarusian,3sg_m_s,ën,,
Belarusian,3sg_n_a,jaho,,
Belarusian,3sg_n_o,jaho,,
Belarusian,3sg_n_p,jae,,
Belarusian,3sg_n_s,jaho,,
BettaKurumba,12du_a,nange,"Coelho, Gail M. 2003. A Grammar of Betta Kurumba. Austin, TX: Austin: University of Texas at Austin dissertation. (xiii+374pp.)",
BettaKurumba,12du_o,nangerna,,
BettaKurumba,12du_p,nange,,
BettaKurumba,12du_s,nange,,
BettaKurumba,12pl_a,nange,,
BettaKurumba,12pl_o,nangerna,,
BettaKurumba,12pl_p,nange,,
BettaKurumba,12pl_s,nange,,
BettaKurumba,1du_a,yange,,
BettaKurumba,1du_o,yangerna,,
BettaKurumba,1du_p,yange,,
BettaKurumba,1du_s,yange,,
BettaKurumba,1pl_a,yange,,
BettaKurumba,1pl_o,yangerna,,
BettaKurumba,1pl_p,yange,,
BettaKurumba,1pl_s,yange,,
BettaKurumba,1sg_a,nave,,
BettaKurumba,1sg_o,yaniya,,
BettaKurumba,1sg_p,yan,,
BettaKurumba,1sg_s,nave,,
BettaKurumba,2du_a,ninge,,
BettaKurumba,2du_o,ningerna,,
BettaKurumba,2du_p,ninge,,
BettaKurumba,2du_s,ninge,,
BettaKurumba,2pl_a,ninge,,
BettaKurumba,2pl_o,ningerna,,
BettaKurumba,2pl_p,ninge,,
BettaKurumba,2pl_s,ninge,,
BettaKurumba,2sg_a,niye,,
BettaKurumba,2sg_o,niniya,,
BettaKurumba,2sg_p,nin,,
BettaKurumba,2sg_s,niye,,
BettaKurumba,3d_a,age,,
BettaKurumba,3d_o,aterna,,
BettaKurumba,3d_p,atere,,
BettaKurumba,3d_s,age,,
BettaKurumba,3p_a,age,,
BettaKurumba,3p_o,aterna,,
BettaKurumba,3p_p,atere,,
BettaKurumba,3p_s,age,,
BettaKurumba,3sg_m_a,ade,,
BettaKurumba,3sg_m_o,adena,,
BettaKurumba,3sg_m_p,adena,,
BettaKurumba,3sg_m_s,ade,,
BettaKurumba,3sg_n_a,ade,,
BettaKurumba,3sg_n_o,adena,,
BettaKurumba,3sg_n_p,adena,,
BettaKurumba,3sg_n_s,ade,,
Bhadarwahi,12du_a,esai,"Dwivedi, Amitabh Vikram. 2013. A grammar of Bhadarwahi Language of the World/Materials 495. (Languages of the World/Materials, 495.) München: LINCOM. viii+135pp.",p39
Bhadarwahi,12du_o,esa,,
Bhadarwahi,12du_p,isho,,
Bhadarwahi,12du_s,esei,,
Bhadarwahi,12pl_a,esai,,
Bhadarwahi,12pl_o,esa,,
Bhadarwahi,12pl_p,isho,,
Bhadarwahi,12pl_s,esei,,
Bhadarwahi,1du_a,esai,,
Bhadarwahi,1du_o,esa,,
Bhadarwahi,1du_p,isho,,
Bhadarwahi,1du_s,esei,,
Bhadarwahi,1pl_a,esai,,
Bhadarwahi,1pl_o,esa,,
Bhadarwahi,1pl_p,isho,,
Bhadarwahi,1pl_s,esei,,
Bhadarwahi,1sg_a,mi,,
Bhadarwahi,1sg_o,eu,,
Bhadarwahi,1sg_p,mero,,
Bhadarwahi,1sg_s,mi,,
Bhadarwahi,2du_a,tusei,,
Bhadarwahi,2du_o,tu,,
Bhadarwahi,2du_p,tero,,
Bhadarwahi,2du_s,tusei,,
Bhadarwahi,2pl_a,tusei,,
Bhadarwahi,2pl_o,tu,,
Bhadarwahi,2pl_p,tero,,
Bhadarwahi,2pl_s,tusei,,
Bhadarwahi,2sg_a,tusei,,
Bhadarwahi,2sg_o,tu,,
Bhadarwahi,2sg_p,tero,,
Bhadarwahi,2sg_s,tusei,,
Bhadarwahi,3d_a,tena,,
Bhadarwahi,3d_o,ten,,
Bhadarwahi,3d_p,unkero,,
Bhadarwahi,3d_s,tena,,
Bhadarwahi,3p_a,tena,,
Bhadarwahi,3p_o,ten,,
Bhadarwahi,3p_p,unkero,,
Bhadarwahi,3p_s,tena,,
Bhadarwahi,3sg_m_a,teni,,
Bhadarwahi,3sg_m_o,tu,,
Bhadarwahi,3sg_m_p,usero,,
Bhadarwahi,3sg_m_s,teni,,
Bhadarwahi,3sg_n_a,tesa,,
Bhadarwahi,3sg_n_o,u,,
Bhadarwahi,3sg_n_p,usero,,
Bhadarwahi,3sg_n_s,tesa,,
Bhojpuri,12du_a,hamni,"Thakur, Gopal. 2021. A Grammar of Bhojpuri. (LINCOM Studies in Indo-European Linguistics, 55.) München: LINCOM. 404pp.",p34-36
Bhojpuri,12du_o,hamnike,,
Bhojpuri,12du_p,hamnike,,
Bhojpuri,12du_s,hamni,,
Bhojpuri,12pl_a,hamni,,
Bhojpuri,12pl_o,hamnike,,
Bhojpuri,12pl_p,hamnike,,
Bhojpuri,12pl_s,hamni,,
Bhojpuri,1du_a,hamni,,
Bhojpuri,1du_o,hamnike,,
Bhojpuri,1du_p,hamnike,,
Bhojpuri,1du_s,hamni,,
Bhojpuri,1pl_a,hamni,,
Bhojpuri,1pl_o,hamnike,,
Bhojpuri,1pl_p,hamnike,,
Bhojpuri,1pl_s,hamni,,
Bhojpuri,1sg_a,ham,,
Bhojpuri,1sg_o,hamrake,,
Bhojpuri,1sg_p,hamaar,,
Bhojpuri,1sg_s,ham,,
Bhojpuri,2du_a,tohlog,,
Bhojpuri,2du_o,tohlogke,,
Bhojpuri,2du_p,tohlogke,,
Bhojpuri,2du_s,tohlog,,
Bhojpuri,2pl_a,tohlog,,
Bhojpuri,2pl_o,tohlogke,,
Bhojpuri,2pl_p,tohlogke,,
Bhojpuri,2pl_s,tohlog,,
Bhojpuri,2sg_a,tou,,
Bhojpuri,2sg_o,tohrahke,,
Bhojpuri,2sg_p,tohar,,
Bhojpuri,2sg_s,tou,,
Bhojpuri,3d_a,ouhlog,,
Bhojpuri,3d_o,ouhlogke,,
Bhojpuri,3d_p,oulogkatir,,
Bhojpuri,3d_s,ouhlog,,
Bhojpuri,3p_a,ouhlog,,
Bhojpuri,3p_o,ouhlogke,,
Bhojpuri,3p_p,oulogkatir,,
Bhojpuri,3p_s,ouhlog,,
Bhojpuri,3sg_m_a,ouh,,
Bhojpuri,3sg_m_o,ounke,,
Bhojpuri,3sg_m_p,ounkar,,
Bhojpuri,3sg_m_s,ouh,,
Bhojpuri,3sg_n_a,ouh,,
Bhojpuri,3sg_n_o,ounke,,
Bhojpuri,3sg_n_p,ounkar,,
Bhojpuri,3sg_n_s,ouh,,
Bine,12du_a,mine,"Döhler, Christian. 2024. Bine sketch grammar. Ms. 33pp.",
Bine,12du_o,mimbina,,
Bine,12du_p,mime,,
Bine,12du_s,mine,,
Bine,12pl_a,mine,,
Bine,12pl_o,mimbina,,
Bine,12pl_p,mime,,
Bine,12pl_s,mine,,
Bine,1du_a,kine,,
Bine,1du_o,kimbina,,
Bine,1du_p,kime,,
Bine,1du_s,kine,,
Bine,1pl_a,kine,,
Bine,1pl_o,kimbina,,
Bine,1pl_p,kime,,
Bine,1pl_s,kine,,
Bine,1sg_a,kane,,
Bine,1sg_o,kambina,,
Bine,1sg_p,kame,,
Bine,1sg_s,kane,,
Bine,2du_a,wane,,
Bine,2du_o,wembina,,
Bine,2du_p,weme,,
Bine,2du_s,wane,,
Bine,2pl_a,wane,,
Bine,2pl_o,wembina,,
Bine,2pl_p,weme,,
Bine,2pl_s,wane,,
Bine,2sg_a,mane,,
Bine,2sg_o,mambina,,
Bine,2sg_p,mame,,
Bine,2sg_s,mane,,
Bine,3d_a,tepi,,
Bine,3d_o,tembina,,
Bine,3d_p,teme,,
Bine,3d_s,tepi,,
Bine,3p_a,tepi,,
Bine,3p_o,tembina,,
Bine,3p_p,teme,,
Bine,3p_s,tepi,,
Bine,3sg_m_a,tambe,,
Bine,3sg_m_o,tembina,,
Bine,3sg_m_p,teme,,
Bine,3sg_m_s,tepi,,
Bine,3sg_n_a,tambe,,
Bine,3sg_n_o,tembina,,
Bine,3sg_n_p,teme,,
Bine,3sg_n_s,tepi,,
BininjGunWok,12du_a,ngad,"Evans, Nicholas. 2003. Bininj Gun-wok. A pan-dialectal grammar of Mayali, Kunwinjku and Kune. Canberra: Pacific Linguistics, Research School of Pacific and Asian Studies, Australian National University.",
BininjGunWok,12du_o,ngad,,
BininjGunWok,12du_p,karewoneng,,
BininjGunWok,12du_s,ngad,,
BininjGunWok,12pl_a,ngad,,
BininjGunWok,12pl_o,ngad,,
BininjGunWok,12pl_p,kadbere,,
BininjGunWok,12pl_s,ngad,,
BininjGunWok,1du_a,ngad,,
BininjGunWok,1du_o,ngad,,
BininjGunWok,1du_p,ngarewoneng,,
BininjGunWok,1du_s,ngad,,
BininjGunWok,1pl_a,ngad,,
BininjGunWok,1pl_o,ngad,,
BininjGunWok,1pl_p,ngadbere,,
BininjGunWok,1pl_s,ngad,,
BininjGunWok,1sg_a,ngaye,,
BininjGunWok,1sg_o,ngaye,,
BininjGunWok,1sg_p,naduk,,
BininjGunWok,1sg_s,ngaye,,
BininjGunWok,2du_a,ngudda,,
BininjGunWok,2du_o,ngudda,,
BininjGunWok,2du_p,nuddangki,,
BininjGunWok,2du_s,ngudda,,
BininjGunWok,2pl_a,ngudda,,
BininjGunWok,2pl_o,ngudda,,
BininjGunWok,2pl_p,ngudbere,,
BininjGunWok,2pl_s,ngudda,,
BininjGunWok,2sg_a,ngudda,,
BininjGunWok,2sg_o,ngudda,,
BininjGunWok,2sg_p,nguddangki,,
BininjGunWok,2sg_s,ngudda,,
BininjGunWok,3d_a,bedda,,
BininjGunWok,3d_o,bedda,,
BininjGunWok,3d_p,berewoneng,,
BininjGunWok,3d_s,bedda,,
BininjGunWok,3p_a,bedda,,
BininjGunWok,3p_o,bedda,,
BininjGunWok,3p_p,bedbere,,
BininjGunWok,3p_s,bedda,,
BininjGunWok,3sg_m_a,nungka,,
BininjGunWok,3sg_m_o,nungka,,
BininjGunWok,3sg_m_p,nuye,,
BininjGunWok,3sg_m_s,nungka,,
BininjGunWok,3sg_n_a,ngaleng,,
BininjGunWok,3sg_n_o,ngaleng,,
BininjGunWok,3sg_n_p,ngare ,,
BininjGunWok,3sg_n_s,ngaleng,,
Brahui,12du_a,nan,"Andronov, Mikhail S. 2006. Brahui, A Dravidian Language. Munich: LINCOM Europa.",
Brahui,12du_o,nane,,
Brahui,12du_p,nanaa,,
Brahui,12du_s,nan,,
Brahui,12pl_a,nan,,
Brahui,12pl_o,nane,,
Brahui,12pl_p,nanaa,,
Brahui,12pl_s,nan,,
Brahui,1du_a,nan,,
Brahui,1du_o,nane,,
Brahui,1du_p,nanaa,,
Brahui,1du_s,nan,,
Brahui,1pl_a,nan,,
Brahui,1pl_o,nane,,
Brahui,1pl_p,nanaa,,
Brahui,1pl_s,nan,,
Brahui,1sg_a,ia,,
Brahui,1sg_o,kane,,
Brahui,1sg_p,kanaa,,
Brahui,1sg_s,ia,,
Brahui,2du_a,num,,
Brahui,2du_o,nume,,
Brahui,2du_p,numaa,,
Brahui,2du_s,num,,
Brahui,2pl_a,num,,
Brahui,2pl_o,nume,,
Brahui,2pl_p,numaa,,
Brahui,2pl_s,num,,
Brahui,2sg_a,nia,,
Brahui,2sg_o,nea,,
Brahui,2sg_p,naa,,
Brahui,2sg_s,nia,,
Brahui,3d_a,daafk,,
Brahui,3d_o,daafte,,
Brahui,3d_p,daaftaa,,
Brahui,3d_s,daafk,,
Brahui,3p_a,daafk,,
Brahui,3p_o,daafte,,
Brahui,3p_p,daaftaa,,
Brahui,3p_s,daafk,,
Brahui,3sg_m_a,daad,,
Brahui,3sg_m_o,daade,,
Brahui,3sg_m_p,daanaa,,
Brahui,3sg_m_s,daad,,
Brahui,3sg_n_a,daad,,
Brahui,3sg_n_o,daade,,
Brahui,3sg_n_p,daanaa,,
Brahui,3sg_n_s,daad,,
Bulgarian,12du_a,nie,"Scatton, Ernest A. 1993. Bulgarian. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 188-248. London, New York: Routledge.",
Bulgarian,12du_o,nas,,
Bulgarian,12du_p,nash,,
Bulgarian,12du_s,nie,,
Bulgarian,12pl_a,nie,,
Bulgarian,12pl_o,nas,,
Bulgarian,12pl_p,nash,,
Bulgarian,12pl_s,nie,,
Bulgarian,1du_a,nie,,
